AAI;Special Restaurants, Sport and Leisure;;;Café Afro;Man bekommt dort gutes Essen, Getränke, Schachbretter und ausländische Zeitschriften;Türkenstraße;3;;;1090;Wien;Österreich;;;Täglich 8:00 - 24:00;;;http://www.cafeafro.at/; 004369918175144;;Special Restaurants, Sport and Leisure;Café Afro;Great food and drink, chess, and magazines from all over the world;;کافی شاپ آفرو ;غذاها، و نوشیدنی های عالی، بازی شطرنج و مجلات از سراسر جهان;;مقهى Afro;الكثير من الضيافة , شطرنج ومجلاّت من كافة أنحاء العالم ;;Café Afro;Pour bien manger, boire un coup, jouer aux échecs et lire la presse internationale;https://www.facebook.com/CafeAfro/?fref=ts
AAI;Culture, Politics;;;Veranstaltungen;Filmabende, Tanz- und Musikveranstaltungen, Literaturabende, Vorträge, Diskussionen, Interreligiöse Salonabende und Exkursionen;;;;;;;;;;;;;http://www.aai-wien.at/veranstaltungen1;;;Culture, Politics;AAI - Events;Film evenings, dance and music events, literature evenings, lectures, discussions, inter-religious salon evenings and excursions;;رویدادهای هنری و فرهنگی;شب فیلم، رقص و موزیک، رویدادهای ادبی، سخنرانی، مباحثات،   شبهای گفتگو میان ادیان،سفرهای علمی;;AAI- فعاليات ;فيلم مسائي, فعاليات الموسيقى والرقص, أدبيات مسائية, محاضرات, حوارات, صالون بين الأديان المسائي والرحلات;;AAI - Events;Soirées cinéma, danse, musique et littérature, ains que des conférences, discussions, excursions et salons inter-religieux;
AAI;Culture, Politics, Education;;;Workshops, Seminare, Weiterbildungen;Workshops für Kinder und Jugendliche, Seminare und Weiterbildungen für Erwachsene;;;;;;;;;;;;;http://www.aai-wien.at/workshops-seminare-weiterbildungen22;;;Culture, Politics, Education;AAI - Workshops, seminars, further education;Workshops for children and young people, seminars and further education for adults;;کارگاه هنری، کلاسهای آموزشی و تکمیلی;کارگاه برای کودکان و جوانان و سمينار و امكان آموزش تکمیلی براى بزرگسالان;;AAI- ورشات عمل, ندوات, المزيد من التعليم ;ورشات عمل للأطفال و اليافعين, ندوات وحلقات علم إضافية للبالغين;;AAI - Ateliers, seminaires, formations continues;Ateliers pour enfants et adolescents ainsi que des séminaires et formations continues pour adultes;
AAI;Art;;Free;Galerie Weltcafé;Ausgestellte Werke von Kunstschaffenden aus den Ländern des globalen Südens oder von MigrantInnen;Schwarzspanierstraße;15;;;1090;Wien;Österreich;;;"Mo-Fr: 8:30 - 24:00
Sa-So: 9:00 - 24:00";;mb.eder@aai-wien.at;http://www.aai-wien.at/aai-galerie2;004313105145210;Dr. Maria-Beate Eder;Art;AAI-Gallery Weltcafé;Exhibiting works of art by artists from the countries of the South or with migrational backgrounds;;گالری کافی شاپ ولت (دنیا);نمایش  کارهای هنری هنرمندانی از کشورهای جنوبی یا با سابقه مهاجرت;;AAI- صالة Weltcafé;إقامة معارض فنية لفنانين من بلدان الجنوب أو المهاجرين ;;AAI-Gallery Weltcafé;Exposition d'oeuvres d'artistes des pays du sud;
AAI;Art;;Free;Galerie Café Afro;Das Café Afro bietet Platz für Fotografien unterschiedlicher Lebenswirklichkeiten und ergänzt und bereichert das Begegnungsprogramm des AAI-Wien;Türkenstraße;3;;;1090;Wien;Österreich;;;Täglich 8:00 - 24:00;;mb.eder@aai-wien.at;http://www.aai-wien.at/aai-galerie2;004313105145210;Dr. Maria-Beate Eder;Art;AAI-Gallery Café Afro;Café Afro shows photographs which portray different realities and enrich the exchange program of the AAI-Vienna;;گالری کافی شاپ آفریقا;کافی شاپ آفریقا فضایی را برای نمایش کارهای عکاسی در زمینه موضوعات مختلف قرار میدهد و برنامه های موسسه آفریقا و اسیا برای ارتباط فرهنگهای محتلف را تقویت میکند. ;;AAI- معرض مقهى Afro;Café Afro يستعرض مجموعة من الصور عن العديد من الحقائق وإغناء نظام التبادل الخاص بـ AAI-Vienna;;AAI-Gallery Café Afro;Le Café Afro expose des photographies représentant la diversité des réalités, complétant et enrichissant le programme d'échange et de rencontre de l' AAI-Vienne;
AAI;Education, Community and Leisure;;Women;Initiativen;Verschiedene interreligiöse Initiativen;;;;;;;;;;;;;http://www.aai-wien.at/initiativen13;;;Education, Community and Leisure;AAI - Initiatives;Various interfaith initiatives;;برنامه های ابتکاری;ابتکارات مختلف بین ادیان;;AAI- مبادرات ;مبادرات الحوار حول اختلاف الأديان ;;AAI - Initiatives;Initiatives inter-religieuses;
AB+;Job Centres, Work;;;Datenbank Sozialer Unternehmer;Unterstützt bei der Suche nach Dienstleistungen und Produkten, die von Sozialen Unternehmen angeboten werden;;;;;;;;;;;;;http://arbeitplus.at/datenbank/;;;Job Centres, Work;Arbeit+ Database of Social Enterprises;Helps you to find services, products and job opportunities that are offered by social enterprises;;پایگاه داده ها;در زمینه جستجوی خدمات،محصولات و فرصت های شغلی ارایه شده در جامعه به شما کمک میکند;;العمل + قاعدة بيانات المؤسسات الاجتماعية;يساعدك للحصول على الخدمات, المنتجات وفرص العمل المقدّمة من قبل المؤسسات الاجتماعية ;;Base de données des entreprises sociales;Assistance à la recherche de services et produits mis à disposition par les organismes et entreprises sociaux;
ADV;Food Distribution;;Free;Essensausgabe;Gratis Ausgabe von warmem Essen;Säulengasse;31;;;1090;Wien;Österreich;;;"Di: 13:00 - 14:30
Do: 14:45 - 16:00
So: 8:00 - 11:00";;;;004313196043;;Food Distribution;Adventmission - Food Distribution;Distribution of warm food free of charge;;توزیع غذا;توزیع مواد غذایی کرم بدون هزینه;;توزيع الغذاء;توزيع الطعام الساخن مجاناً;;Distribution de repas;Distribution gratuite de repas chauds;
ADV;Clothing;;Free;Kleidungsausgabe;Gratis Kleidung und Wäsche;Säulengasse;31;;;1090;Wien;Österreich;;;Di, Mi: 9:00 - 12:00;;;;004314068881;;Clothing;Adventmission - Clothing Distribution;Free clothing and bedclothes;;توزیع لباس و پوشاک;توزیع لباس و پوشاک بدون هزینه;;توزيع الألبسة;ألبسة بما فيها لباس النوم مجاناً ;;Distribution de vêtements;Distribution gratuite de vêtements ;
AGKM;Counselling, Education, Community and Leisure;;;Informationsbrochure;Informationen über das Leben in Österreich;;;;;;;;;;;;;http://www.angekommen.online/;;;Counselling, Education, Community and Leisure;You've arrived!;Information about life in Austria;;به مقصد رسیدی;اطلاعات در مورد زندگی در اتریش;;لقد وصلتم!;معلومات عن الحياة في النمسا ;;Brochure d'information;Informations sur la vie en Autriche;
AID;Sexual Health, Sexual Health without Ecard;;LGBTQI;AIDS Hilfe - Info über HIV/AIDS;Information über HIV/AIDS;;;;;;;;;;;;;http://www.aids.at/alles-uber-hivaids/;;;Sexual Health, Sexual Health without Ecard;AIDS Hilfe - Info about HIV/AIDS;Information about HIV/AIDS;;راهنمایی درباره ایدز، اطلاعات درباره اچ آی وی ایدز;اطلاعات در مورد اچ ای وی / ایدز;;معلومات عن فيروس نقص المناعة/ الإيدز;معلومات عن فيروس نقص المناعة/ الإيدز;;AIDS Hilfe - Informations sur le virus VIH et le SIDA;Informations sur le virus du VIH et le SIDA;
